股票名稱,代碼
嘉楠耘智公司－ＡＤＲ,CAN
ｉＲｏｂｏｔ公司,IRBT
賽里斯醫療公司,MCRB
尼比厄斯集團公眾有限公司,NBIS
ＭｉｃｒｏＶｉｓｉｏｎＩｎｃ,MVIS
ＯｐｅｎｄｏｏｒＴｅｃｈｎｏｌｏｇｉｅｓＩｎｃ,OPEN
ＳｕｎｄｉａｌＧｒｏｗｅｒｓＩｎｃ,SNDL
ＴｉｌｒａｙＢｒａｎｄｓ公司,TLRY
ＲａｃｋｓｐａｃｅＴｅｃｈｎｏｌｏｇｙＩｎｃ,RXT
ＮｕＳｃａｌｅＰｏｗｅｒＣｏｒｐ,SMR
伊士曼柯達,KODK
Ｏｋｌｏ公司,OKLO
ＴＭＣｔｈｅｍｅｔａｌｓｃｏｍｐａｎｙＩｎｃ,TMC
新氧國際股份有限公司－ＡＤＲ,SY
金山軟件有限公司－ＡＤＲ,KC
ＣｉｒｃｌｅＩｎｔｅｒｎｅｔＧｒｏｕｐ,CRCL
ＱｕａｎｔｕｍＳｃａｐｅ,QS
ＱｕａｎｔｕｍＣｏｍｐｕｔｉｎｇ公司,QUBT
Ｈｉｍｓ＆ＨｅｒｓＨｅａｌｔｈＩｎｃ,HIMS
ＭＰＭａｔｅｒｉａｌｓＣｏｒｐ,MP
Ｗｏｌｆｓｐｅｅｄ公司,WOLF
ＰａｙｏｎｅｅｒＧｌｏｂａｌＩｎｃ,PAYO
蔚來汽車公司－ＡＤＲ,NIO
鬥魚國際控股有限公司－ＡＤＲ,DOYU
ＳｅｒｖｅＲｏｂｏｔｉｃｓ,SERV
ＡｐｐＬｏｖｉｎ公司,APP
Ｃｏ－ＤｉａｇｎｏｓｔｉｃｓＩｎｃ,CODX
ＯｕｓｔｅｒＩｎｃ,OUST
ＲＯＢＬＯＸＣｏｒｐ,RBLX
ＡｂＣｅｌｌｅｒａＢｉｏｌｏｇｉｃｓＩｎｃ,ABCL
ＬｅｍｏｎａｄｅＩｎｃ,LMND
布洛克公司,XYZ
ＣｏｒｅＷｅａｖｅ公司,CRWV
阿斯特陽光電力,CSIQ
康福斯製藥公司,CRVS
歐特克,ADSK
帕蘭提爾科技公司,PLTR
ＪｏｂｙＡｖｉａｔｉｏｎ公司,JOBY
ＲｉｇｅｔｔｉＣｏｍｐｕｔｉｎｇ公司,RGTI
Ｓｎａｐ公司－ＡＤＲ,SNAP
Ｔｗｉｌｉｏ公司,TWLO
ＴｅｎｃｅｎｔＭｕｓｉｃＥｎｔｅｒｔａｉｎｍｅｎｔ－ＡＤＲ,TME
快扣有限公司,FAST
阿奎亞金屬公司,AQMS
Ｓｈｏｐｉｆｙ公司,SHOP
ＥｎｏｖｉｘＣｏｒｐ,ENVX
鈾能源公司,UEC
嗶哩嗶哩公司－ＡＤＲ,BILI
Ａｒｇａｎ公司,AGX
ＲＬＸ科技公司－ＡＤＲ,RLX
防特網公司,FTNT
美國超導公司,AMSC
西水資源公司,WWR
譜系細胞治療公司,LCTX
祥茂光電科技股份有限公司,AAOI
ＧｏＰｒｏ公司,GPRO
微策公司,MSTR
Ｖｕｚｉｘ公司,VUZI
ＡｐｐｌｉｅｄＤｉｇｉｔａｌ公司,APLD
ＤｏｃｕＳｉｇｎ公司,DOCU
ＩＭＡＸ公司,IMAX
英特利亞治療公司,NTLA
理想汽車－ＡＤＲ,LI
Ｐａｙｐａｌ控股有限公司,PYPL
ＡｖｅＰｏｉｎｔ公司,AVPT
虎牙公司－ＡＤＲ,HUYA
第九城市－ＡＤＲ,NCTY
ｎＣｉｎｏＩｎｃ,NCNO
ＺｏｏｍＩｎｆｏ科技公司,GTM
ＳｅｍｉＬｕｘＩｎｔｅｒｎａｔｉｏｎａｌ控股公司,SELX
卡梅科公司,CCJ
ＯｒｕｋａＴｈｅｒａｐｅｕｔｉｃｓ,ORKA
ＮｋａｒｔａＩｎｃ,NKTX
萬國數據－ＡＤＲ,GDS
ＳｐｒｏｕｔｓＦａｒｍｅｒｓＭａｒｋｅｔ公司,SFM
ＦｕｂｏＴＶＩｎｃ,FUBO
ＫＥＨｏｌｄｉｎｇｓＩｎｃ－ＡＤＲ,BEKE
ＧＥＶｅｒｎｏｖａ,GEV
康寧公司,GLW
ＴｅｌｏｓＣｏｒｐ,TLS
ＲｏｂｉｎＥｎｅｒｇｙＬｔｄ,RBNE
維珍銀河控股公司,SPCE
挪威郵輪控股有限公司,NCLH
中國汽車系統股份有限公司,CAAS
ＡｘｏｎＥｎｔｅｒｐｒｉｓｅＩｎｃ,AXON
ＡｒｃｈｅｒＡｖｉａｔｉｏｎ公司,ACHR
奇異航太,GE
ＲｅａｌｔｙＩｎｃｏｍｅＣｏｒｐ,O
華利安諾基公司,HLI
達美航空,DAL
Ｓｕｎｒｕｎ公司,RUN
ＡｔｅａＰｈａｒｍａｃｅｕｔｉｃａｌｓＩｎｃ,AVIR
ＳｅｒｖｉｃｅＮｏｗ公司,NOW
ＴｕｙａＩｎｃ－ＡＤＲ,TUYA
卡夫亨氏公司,KHC
Ｉｍｍｕｔｅｐ有限公司－ＡＤＲ,IMMP
華納兄弟探索公司,WBD
克羅格,KR
愛彼迎公司,ABNB
盧比孔專案公司,MGNI
