股票名稱,代碼
Opendoor Technologies Inc,OPEN
科銳公司,WOLF
蔚來汽車公司,NIO
Block,XYZ
帕蘭提爾科技公司,PLTR
Twilio公司,TWLO
DOCUSIGN 公司,DOCU
PAYPAL 控股有限公司,PYPL
TAPESTRY,TPR
奇異維諾瓦公司,GEV
奇異公司,GE
RealtyIncomeCorp,O
達美航空,DAL
ServiceNow Inc,NOW
卡夫亨氏公司,KHC
探索公司,WBD
愛彼迎公司,ABNB
吉利德科學公司,GILD
Under Armour (C Class),UA
歐米茄健康照護投資人公司,OHI
海科航空公司,HEI
Under Armour,UAA
"Zoom Communications, Inc.",ZM
海洋有限公司,SE
諾瓦瓦克斯公司,NVAX
威爾塔公司,WELL
達美樂披薩股份有限公司,DPZ
Palo Alto Networks Inc,PANW
安波福公開有限公司,APTV
波音公司,BA
西南航空,LUV
威名百貨,WMT
聯合航空控股公司,UAL
阿里巴巴集團,BABA
網飛公司,NFLX
3M,MMM
美國航空集團,AAL
Ventas公司,VTR
Snowflake,SNOW
摩根士丹利,MS
美商高盛證券,GS
美國電塔,AMT
HCA 醫療保健公司,HCA
紐蒙特公司,NEM
布魯克菲爾德資產管理,BN
好市多,COST
特斯拉汽車,TSLA
富國銀行,WFC
必治妥施貴寶公司,BMY
超微電腦公司,SMCI
Adobe Inc.,ADBE
KBR 公司,KBR
Roku,ROKU
花旗集團,C
直覺外科公司,ISRG
新紀元能源公司,NEE
BOOKING HOLDINGS INC.,BKNG
阿斯特捷利康公開有限公司(ADR),AZN
福特汽車,F
谷歌,GOOG
禮來公司,LLY
Visa Inc,V
美國銀行,BAC
ATandT,T
國際航電股份有限公司,GRMN
eBay Inc,EBAY
麥當勞,MCD
摩根大通銀行,JPM
CENCORA INC,COR
Schrodinger,SDGR
SALESFORCE,CRM
德意志銀行,DB
德維特公司,DVA
安進,AMGN
艾司摩爾控股公司,ASML
萬事達卡,MA
臉書,META
第一資本,COF
美國運通,AXP
博通公司,AVGO
賽門物業集團,SPG
旅行者保險公司,TRV
Solventum公司,SOLV
默克藥廠,MRK
亞馬遜網路書店,AMZN
大都會人壽保險,MET
百事可樂,PEP
Viatris,VTRS
美商藝電公司,EA
BARRICK GOLD CORPORATION,B
波克夏海瑟威公司,BRK.B
華德迪士尼,DIS
國際商業機器公司,IBM
諾和諾德公司,NVO
亞培,ABT
家得寶,HD
開拓重工,CAT
智遊網集團公司,EXPE
嬌生公司,JNJ
SKECHERS,SKX
瑞銀集團,UBS
微軟,MSFT
威瑞森電信,VZ
General Motors Co,GM
索尼,SONY
超微半導體,AMD
公園酒店及度假村公司,PK
思科系統公司,CSCO
美敦力公司,MDT
Keysight Technologies Inc.,KEYS
邁威爾科技有限公司,MRVL
科磊公司,KLAC
必和必拓集團,BHP
美國西屋制動公司,WAB
頂峰旅館房地產公司,INN
保德信金融集團,PRU
應用材料公司,AMAT
奇景光電ADR,HIMX
Crowdstrike控股公司,CRWD
艾伯維藥品有限公司,ABBV
亞德諾半導體,ADI
輝達公司,NVDA
耐吉,NKE
Kyndryl,KD
德州儀器,TXN
英特爾,INTC
甲骨文公司,ORCL
可口可樂,KO
Teladoc公司,TDOC
CVS HEALTH,CVS
錢樹商店,DLTR
捷普集團,JBL
台積電ADR,TSM
聯華電子股份有限公司,UMC
BIOGEN,BIIB
"DuPont de Nemours, Inc.",DD
Qorvo公司,QRVO
聯邦快遞,FDX
GE HealthCare Technologies I,GEHC
京東商城公司,JD
安謀控股公開有限公司,ARM
伍德賽德石油有限公司,WDS
安森美半導體,ON
聯合健康集團公司,UNH
Archer-Daniels-Midland,ADM
輝瑞,PFE
百思買,BBY
OldDominionFreightLine公司,ODFL
蘋果電腦,AAPL
百度,BIDU
艾克索美孚,XOM
ORGANON,OGN
帕卡公司,PCAR
超越肉類公司,BYND
慧榮科技ADR,SIMO
意法半導體公司(ADR),STM
優步科技公司,UBER
費利浦.麥克莫蘭銅金,FCX
星巴克,SBUX
雅詩蘭黛集團,EL
BioNTech SE,BNTX
Hologic公司,HOLX
安賽樂米塔爾,MT
新思科技公司,SNPS
恩智浦半導體,NXPI
諾基亞,NOK
高通,QCOM
菲利普６６公司,PSX
科林研發股份有限公司,LRCX
力拓股份有限公司,RIO
寶鹼公司,PG
賽默飛世爾科技有限公司,TMO
摩德納公司,MRNA
惠普,HPQ
雪佛龍,CVX
巴西淡水河谷公司,VALE
拼多多公司,PDD
火星塞電力公司,PLUG
露露檸檬,LULU
克里夫蘭克里夫公司,CLF
美國鋁業公司,AA
賀寶芙,HLF
美光科技公司,MU
如新集團,NUS
