股票名稱,代碼
WOLFSPEED INC Wolfspeed公司,WOLF
REDWIRE CORP 紅線公司,RDW
SERVE ROBOTICS INC Serve Robotics公司(限專投),SERV
BLOCK INC 布洛克公司,XYZ
COREWEAVE INC-CL A CoreWeave公司,CRWV
帕蘭提爾科技公司,PLTR
STRATEGY INC-CL A 策略公司,MSTR
應用數位公司(限專投),APLD
PAYPAL HOLDINGS INC Paypal控股有限公司,PYPL
GE VERNOVA INC 奇異維諾瓦公司,GEV
GE AEROSPACE 奇異公司,GE
DELTA AIR LINES INC 達美航空,DAL
SERVICENOW INC ServiceNow公司,NOW
KROGER CO,KR
AIRBNB INC-CLASS A 愛彼迎公司,ABNB
CARNIVAL CORP 嘉年華集團,CCL
GILEAD SCIENCES INC 吉利德科學公司,GILD
BITDEER TECHNOLOGIES GROUP-A 比特小鹿(限專投),BTDR
ZOOM  COMMUNICATIONS-A ZOOM通訊有限公司,ZM
直覺機器公司(限專投),LUNR
NOVAVAX INC 諾瓦瓦克斯公司,NVAX
CHARTER COMMUNICATIONS INC-A 特許通訊公司,CHTR
WELLTOWER INC 威爾塔公司,WELL
COMCAST CORP-CLASS A 康卡斯特公司,CMCSA
COINBASE GLOBAL INC -CLASS A 比特幣基地全球公司,COIN
PALO ALTO NETWORKS INC 帕羅奧圖網路公司,PANW
RAYTHEON TECHNOLOGIES CORP 雷神科技公司,RTX
BANK OF NEW YORK MELLON CORP 紐約梅隆銀行,BK
THE BOEING CO 波音公司,BA
AMPHENOL CORP-CL A 安費諾,APH
WALMART INC 沃爾瑪公司,WMT
UNITED AIRLINES HOLDINGS INC 聯合航空控股公司,UAL
MONSTER BEVERAGE CORP 怪獸飲料公司,MNST
ALIBABA GROUP HOLDING-SP ADR 阿里巴巴集團控股有限公司,BABA
CONSTELLATION ENERGY 星座能源公司,CEG
NETFLIX INC 網飛公司,NFLX
3M CO 3M公司,MMM
AMERICAN AIRLINES GROUP INC 美國航空集團公司,AAL
LOCKHEED MARTIN CORP 洛克希德馬丁,LMT
SNOWFLAKE INC-CLASS A Snowflake公司,SNOW
ALBEMARLE CORP 雅保公司,ALB
MORGAN STANLEY 摩根士丹利,MS
GOLDMAN SACHS GROUP INC 高盛集團,GS
AMERICAN TOWER CORP 美國電塔,AMT
HCA HEALTHCARE INC HCA醫療保健公司,HCA
VERTIV HOLDINGS CO-A 維諦技術控股公司,VRT
COSTCO WHOLESALE CORP 好市多公司,COST
BOSTON SCIENTIFIC CORP 波士頓科學公司,BSX
TESLA INC 特斯拉公司,TSLA
WELLS FARGO & CO 富國銀行,WFC
UIPATH INC - CLASS A UiPath公司,PATH
BRISTOL-MYERS SQUIBB CO 必治妥施貴寶公司,BMY
UNITY SOFTWARE INC Unity軟體公司,U
SUPER MICRO COMPUTER INC 美超微電腦股份有限公司,SMCI
ADOBE INC 奧多比系統公司,ADBE
ROKU INC Roku公司,ROKU
MSCI INC MSCI 明晟,MSCI
HONEYWELL INTERNATIONAL INC 漢威聯合國際公司,HON
BLACKROCK INC 貝萊德公司,BLK
CITIGROUP INC 花旗集團,C
GENERAL DYNAMICS CORP 通用動力公司,GD
INTUITIVE SURGICAL INC 直覺外科公司,ISRG
NEXTERA ENERGY INC 新紀元能源公司,NEE
BOOKING HOLDINGS INC 繽客控股公司,BKNG
ASTRAZENECA PLC-SPONS ADR 阿斯特捷利康公開有限公司,AZN
FORD MOTOR CO 福特汽車公司,F
ELI LILLY & CO 禮來公司,LLY
CHARLES SCHWAB CORP 嘉信理財公司,SCHW
MOODYS CORP 穆迪,MCO
ALPHABET INC-CLASS A Alphabet公司,GOOGL
VERTEX PHARMACEUTICALS INC 福泰製藥公司,VRTX
VISA INC-CLASS A SHARES 威士卡,V
BANK OF AMERICA CORP 美國銀行,BAC
AT&T INC AT&T公司,T
GARMIN LTD 國際航電股份有限公司,GRMN
MONDELEZ INTERNATIONAL INC-A 億滋國際,MDLZ
MCDONALDS CORP 麥當勞公司,MCD
INTUIT INC 直覺公司,INTU
JPMORGAN CHASE & CO 摩根大通銀行,JPM
SALESFORCE INC 賽富時公司,CRM
TARGET CORP 目標百貨公司,TGT
AMGEN INC 安進公司,AMGN
ASML HOLDING NV-NY REG SHS 艾司摩爾控股公司,ASML
S&P GLOBAL INC 標準普爾全球公司,SPGI
ALTRIA GROUP INC 高特利集團,MO
MASTERCARD INC - A 萬事達卡,MA
STRYKER CORP 史賽克,SYK
NAVITAS SEMICONDUCTOR CORP 納微半導體有限公司,NVTS
REGENERON PHARMACEUTICALS 雷傑納榮製藥公司,REGN
META PLATFORMS INC-CLASS A Meta平台公司,META
EQUINIX INC Equinix公司,EQIX
AMERICAN EXPRESS CO 美國運通,AXP
BROADCOM INC 博通公司,AVGO
MARRIOTT INTERNATIONAL -CL A 萬豪國際集團(馬里蘭),MAR
SIMON PROPERTY GROUP INC 賽門物業集團,SPG
SOLVENTUM CORP SOLVENTUM公司,SOLV
MERCK & CO. INC. 默克藥廠,MRK
AMAZON.COM INC 亞馬遜公司,AMZN
NASDAQ INC 那斯達克有限公司,NDAQ
METLIFE INC 大都會人壽,MET
PEPSICO INC 百事可樂公司,PEP
T-MOBILE US INC T-Mobile美國公司,TMUS
PROLOGIS INC 普洛斯,PLD
ELECTRONIC ARTS INC 美商藝電公司,EA
BERKSHIRE HATHAWAY INC-CLASS B 波克夏海瑟威公司,BRK/B
THE WALT DISNEY CO 華特迪士尼公司,DIS
INTL BUSINESS MACHINES CORP 國際商業機器,IBM
GSK PLC-SPON ADR 葛蘭素史克公開有限公司,GSK
XYLEM INC,XYL
NOVARTIS AG-SPONSORED ADR 諾華公司,NVS
NOVO-NORDISK A/S-SPONS ADR 諾和諾德公司,NVO
ABBOTT LABORATORIES 亞培,ABT
HOME DEPOT INC 家得寶公司,HD
SEMPRA 桑普拉,SRE
LINDE PLC 林德公開有限公司,LIN
CATERPILLAR INC 開拓重工公司,CAT
JOHNSON & JOHNSON 嬌生公司,JNJ
MICROSOFT CORP 微軟公司,MSFT
THE CIGNA GROUP 信諾集團,CI
VERIZON COMMUNICATIONS INC 威瑞森電信公司,VZ
GENERAL MOTORS CO 通用汽車公司,GM
SANOFI-ADR 賽諾菲有限責任公司(法國),SNY
ADVANCED MICRO DEVICES 超微半導體公司,AMD
ARISTA NETWORKS INC Arista網路公司,ANET
ELEVANCE HEALTH INC Elevance健康公司,ELV
CISCO SYSTEMS INC 思科系統股份有限公司,CSCO
MEDTRONIC PLC 美敦力公司,MDT
MARVELL TECHNOLOGY INC 邁威爾科技有限公司,MRVL
KLA CORP 科磊公司,KLAC
AMERICAN ELECTRIC POWER 美國電力公司,AEP
DOMINION ENERGY INC 道明尼能源公司,D
CSX CORP CSX公司,CSX
ACCENTURE PLC-CL A 埃森哲有限公司,ACN
AIR PRODUCTS & CHEMICALS INC 氣體產品與化學,APD
APPLIED MATERIALS INC 應用材料,AMAT
HIMAX TECHNOLOGIES INC-ADR 奇景光電,HIMX
Chewy公司(限專投),CHWY
ABBVIE INC 艾伯維公司,ABBV
ANALOG DEVICES INC 亞德諾公司,ADI
NVIDIA CORP 輝達,NVDA
NIKE INC -CL B 耐吉公司,NKE
INVESCO LTD 景順有限公司,IVZ
TEXAS INSTRUMENTS INC 德州儀器公司,TXN
INTEL CORP 英特爾,INTC
ORACLE CORP 甲骨文公司,ORCL
THE COCA-COLA CO 可口可樂公司,KO
CVS HEALTH CORP CVS保健公司,CVS
TAIWAN SEMICONDUCTOR-SP ADR 台積電,TSM
UNION PACIFIC CORP 聯合太平洋公司,UNP
LOWES COS INC 羅威公司,LOW
COLGATE-PALMOLIVE CO 高露潔-棕欖公司,CL
FEDEX CORP 聯邦快遞公司,FDX
DELL TECHNOLOGIES -C 戴爾科技公司,DELL
DEERE & CO 迪爾,DE
ARM HOLDINGS PLC 安謀控股公開有限公司,ARM
CADENCE DESIGN SYS INC Cadence設計系統公司,CDNS
SOUNDHOUND AI INC-A SOUNDHOUND AI公司,SOUN
ON SEMICONDUCTOR 安森美半導體,ON
UNITED PARCEL SERVICE-CL B 聯合包裹服務公司,UPS
UNITEDHEALTH GROUP INC 聯合健康集團公司,UNH
PFIZER INC 輝瑞大藥廠股份有限公司,PFE
APPLE INC 蘋果公司,AAPL
BAIDU INC - SPON ADR 百度股份有限公司,BIDU
EXXON MOBIL CORP 埃克森美孚公司,XOM
CONOCOPHILLIPS 康菲石油,COP
UBER TECHNOLOGIES INC 優步科技公司,UBER
FREEPORT-MCMORAN INC 自由港麥克莫蘭銅金公司,FCX
STARBUCKS CORP 星巴克公司,SBUX
ESTEE LAUDER COMPANIES-CL A 雅詩蘭黛,EL
SYNOPSYS INC 新思科技公司,SNPS
YUM! BRANDS INC 百勝餐飲,YUM
NXP SEMICONDUCTORS NV 恩智浦半導體股份有限公司,NXPI
QUALCOMM INC 高通公司,QCOM
PHILLIPS 66 菲利浦66,PSX
LAM RESEARCH CORP 科林研發股份有限公司,LRCX
THE PROCTER & GAMBLE CO 寶僑公司,PG
THERMO FISHER SCIENTIFIC INC 賽默飛世爾科技有限公司,TMO
MODERNA INC 莫德納公司,MRNA
HP INC 惠普公司,HPQ
CHEVRON CORP 雪佛龍公司,CVX
PDD HOLDINGS INC 拼多多控股公司,PDD
HORMEL FOODS CORP 霍梅爾食品,HRL
OCCIDENTAL PETROLEUM CORP 西方石油,OXY
