股票名稱,代碼
紐蒙特公司,NEM
Opendoor Technologies Inc,OPEN
克里夫蘭克里夫公司,CLF
雅詩蘭黛集團,EL
火星塞電力公司,PLUG
超微電腦公司,SMCI
特斯拉汽車,TSLA
CVS HEALTH,CVS
奇異維諾瓦公司,GEV
聯邦快遞,FDX
超微半導體,AMD
安森美半導體,ON
Under Armour,UAA
吉利德科學公司,GILD
帕蘭提爾科技公司,PLTR
Kyndryl,KD
Snowflake,SNOW
伍德賽德石油有限公司,WDS
Under Armour (C Class),UA
General Motors Co,GM
安謀控股公開有限公司,ARM
達美樂披薩股份有限公司,DPZ
捷普集團,JBL
福特汽車,F
蔚來汽車公司,NIO
星座能源公司,CEG
國際航電股份有限公司,GRMN
台積電ADR,TSM
聯合航空控股公司,UAL
直覺外科公司,ISRG
頂峰旅館房地產公司,INN
ORGANON,OGN
諾和諾德公司,NVO
美商高盛證券,GS
麥當勞,MCD
奇異公司,GE
3M,MMM
賽門物業集團,SPG
"DuPont de Nemours, Inc.",DD
Crowdstrike控股公司,CRWD
Block,XYZ
耐吉,NKE
Solventum公司,SOLV
美國運通,AXP
GE HealthCare Technologies I,GEHC
Palo Alto Networks Inc,PANW
海科航空公司,HEI
大都會人壽保險,MET
開拓重工,CAT
甲骨文公司,ORCL
BARRICK GOLD CORPORATION,B
威名百貨,WMT
禮來公司,LLY
聯合健康集團公司,UNH
Visa Inc,V
保德信金融集團,PRU
萬事達卡,MA
公園酒店及度假村公司,PK
星巴克,SBUX
波音公司,BA
波克夏海瑟威公司,BRK.B
亞培,ABT
第一資本,COF
默克藥廠,MRK
花旗集團,C
摩根大通銀行,JPM
費利浦.麥克莫蘭銅金,FCX
賽默飛世爾科技有限公司,TMO
美敦力公司,MDT
BioNTech SE,BNTX
Viatris,VTRS
亞德諾半導體,ADI
安波福公開有限公司,APTV
Hologic公司,HOLX
家得寶,HD
思科系統公司,CSCO
微軟,MSFT
富國銀行,WFC
SALESFORCE,CRM
瑞銀集團,UBS
菲利普６６公司,PSX
Keysight Technologies Inc.,KEYS
博通公司,AVGO
優步科技公司,UBER
谷歌,GOOG
摩德納公司,MRNA
摩根士丹利,MS
美國航空集團,AAL
露露檸檬,LULU
ATandT,T
歐米茄健康照護投資人公司,OHI
德維特公司,DVA
達美航空,DAL
邁威爾科技有限公司,MRVL
布魯克菲爾德資產管理,BN
百思買,BBY
PAYPAL 控股有限公司,PYPL
拼多多公司,PDD
安賽樂米塔爾,MT
好市多,COST
錢樹商店,DLTR
帕卡公司,PCAR
KBR 公司,KBR
美國銀行,BAC
威爾塔公司,WELL
可口可樂,KO
Roku,ROKU
蘋果電腦,AAPL
威瑞森電信,VZ
Teladoc公司,TDOC
網飛公司,NFLX
CENCORA INC,COR
惠普,HPQ
探索公司,WBD
TAPESTRY,TPR
海洋有限公司,SE
輝達公司,NVDA
西南航空,LUV
SKECHERS,SKX
新紀元能源公司,NEE
RealtyIncomeCorp,O
百度,BIDU
愛彼迎公司,ABNB
諾基亞,NOK
科磊公司,KLAC
Adobe Inc.,ADBE
聯華電子股份有限公司,UMC
Archer-Daniels-Midland,ADM
高通,QCOM
艾伯維藥品有限公司,ABBV
臉書,META
國際商業機器公司,IBM
BOOKING HOLDINGS INC.,BKNG
奇景光電ADR,HIMX
寶鹼公司,PG
亞馬遜網路書店,AMZN
艾克索美孚,XOM
卡夫亨氏公司,KHC
旅行者保險公司,TRV
德州儀器,TXN
華德迪士尼,DIS
美光科技公司,MU
OldDominionFreightLine公司,ODFL
Twilio公司,TWLO
恩智浦半導體,NXPI
DOCUSIGN 公司,DOCU
美國電塔,AMT
美商藝電公司,EA
安進,AMGN
雪佛龍,CVX
百事可樂,PEP
嬌生公司,JNJ
德意志銀行,DB
BIOGEN,BIIB
科林研發股份有限公司,LRCX
京東商城公司,JD
阿里巴巴集團,BABA
Ventas公司,VTR
必治妥施貴寶公司,BMY
Qorvo公司,QRVO
"Zoom Communications, Inc.",ZM
力拓股份有限公司,RIO
Schrodinger,SDGR
eBay Inc,EBAY
應用材料公司,AMAT
賀寶芙,HLF
新思科技公司,SNPS
阿斯特捷利康公開有限公司(ADR),AZN
慧榮科技ADR,SIMO
意法半導體公司(ADR),STM
智遊網集團公司,EXPE
必和必拓集團,BHP
美國西屋制動公司,WAB
艾司摩爾控股公司,ASML
索尼,SONY
HCA 醫療保健公司,HCA
輝瑞,PFE
諾瓦瓦克斯公司,NVAX
巴西淡水河谷公司,VALE
如新集團,NUS
ServiceNow Inc,NOW
美國鋁業公司,AA
超越肉類公司,BYND
科銳公司,WOLF
英特爾,INTC
