股票名稱,代碼
安捷倫科技公司,A
美國鋁業,AA
美國航空集團,AAL
蘋果公司,AAPL
艾伯維藥品,ABBV
Ａｉｒｂｎｂ,ABNB
亞培公司,ABT
艾奇資本集團有限公司,ACGL
埃森哲有限公司,ACN
Ａｄｏｂｅ　Ｉｎｃ,ADBE
亞德諾公司,ADI
阿徹丹尼爾斯米德蘭公司,ADM
自動資料處理公司,ADP
歐特克,ADSK
阿莫林,AEE
美國電力公司,AEP
ＡＥＳ　Ｃｏｒｐｏｒａｔｉｏｎ,AES
美國家庭人壽保險公司,AFL
美國國際集團,AIG
Ａｒｔｈｕｒ　Ｊ　Ｇａｌｌａｇｈｅｒ　＆　Ｃｏ,AJG
阿卡邁科技,AKAM
雅寶公司,ALB
艾利科技公司,ALGN
阿拉斯加航空集團公司,ALK
好事達保險公司,ALL
應用材料,AMAT
安姆科公開有限公司,AMCR
超微半導體,AMD
阿美特克公司,AME
安進公司,AMGN
阿默普萊斯金融公司,AMP
美國電塔公司,AMT
亞馬遜公司,AMZN
Ａｒｉｓｔａ網路公司,ANET
Ａｂｅｒｃｒｏｍｂｉｅ＆Ｆｉｔｃｈ公司,ANF
ＡＮＳＹＳ，　Ｉｎｃ．,ANSS
怡安公開有限公司,AON
艾歐史密斯,AOS
阿帕奇公司,APA
氣體產品與化學,APD
安費諾,APH
安波福公開有限公司,APTV
ＡＲＭＯＵＲ住宅ＲＥＩＴ公司,ARR
艾芙隆海灣社區,AVB
博通,AVGO
美國水務公司,AWK
美國運通,AXP
汽車地帶公司,AZO
波音公司,BA
美國銀行,BAC
Ｂａｔｈ　＆　Ｂｏｄｙ　Ｗｏｒｋｓ公司,BBWI
百思買公司,BBY
必帝公司,BDX
布魯姆能源公司,BE
必和必拓公司,BHP
生物基因公司,BIIB
紐約梅隆銀行,BK
價格線上集團,BKNG
Ｂｕｉｌｄｅｒｓ　ＦｉｒｓｔＳｏｕｒｃｅ，　Ｉｎｃ．,BLDR
貝萊德公司,BLK
必治妥施貴寶公司,BMY
波克夏海瑟威公司,BRK.B
波士頓科學公司,BSX
博格華納公司,BWA
黑石公司,BX
波士頓地產公司,BXP
超越肉類公司,BYND
花旗集團,C
康尼格拉食品公司,CAG
開利全球公司,CARR
開拓重工,CAT
安達保險,CB
芝加哥選擇權交易所,CBOE
世邦魏理仕集團公司,CBRE
皇冠城堡國際公司,CCI
嘉年華公司,CCL
Ｃａｄｅｎｃｅ設計系統公司,CDNS
ＣＤＷ　Ｃｏｒｐｏｒａｔｉｏｎ　ｏｆ　Ｄｅｌａｗａｒｅ,CDW
塞拉尼斯公司,CE
星座能源公司,CEG
ＣＦ工業控股公司,CF
林冠成長公司,CGC
康耐視公司,CGNX
丘奇及德懷特,CHD
Ｃｈｅｇｇ　Ｉｎｃ．,CHGG
ＣｈａｒｇｅＰｏｉｎｔ　Ｈｏｌｄｉｎｇｓ，　Ｉｎｃ．,CHPT
特許通訊公司,CHTR
信諾公司,CI
辛辛那提金融公司,CINF
高露潔－棕欖公司,CL
Ｃｅｌｅｓｔｉｃａ,CLS
高樂氏公司,CLX
康卡斯特,CMCSA
芝商所,CME
奇波雷墨西哥燒烤公司,CMG
康明斯公司,CMI
ＣＭＳ能源,CMS
聖丁公司,CNC
第一資本金融公司,COF
Ｃｏｉｎｂａｓｅ　Ｇｌｏｂａｌ公司,COIN
康菲石油公司,COP
好市多,COST
金寶湯,CPB
科派特公司,CPRT
人力資源網公司,CRM
ＣｒｏｗｄＳｔｒｉｋｅ控股公司,CRWD
ＣｏｒｅＷｅａｖｅ,CRWV
思科系統,CSCO
科斯塔集團公司,CSGP
ＣＡＮＡＤＩＡＮ　ＳＯＬＡＲ　ＩＮＣ,CSIQ
ＣＳＸ公司,CSX
信達思公司,CTAS
高知特科技公司,CTSH
科迪華公司,CTVA
ＣＶＳ　Ｈｅａｌｔｈ,CVS
雪佛龍公司,CVX
道明尼能源,D
達美航空,DAL
多寶箱公司,DBX
新杜邦,DD
３Ｄ系統公司,DDD
迪爾,DE
德克斯戶外用品公司,DECK
戴爾科技公司,DELL
一元雜貨,DG
丹納赫集團,DHR
華德迪士尼,DIS
數位不動產信託公司,DLR
錢樹商店,DLTR
ＤｏｃｕＳｉｇｎ，　Ｉｎｃ．,DOCU
陶氏,DOW
達美樂,DPZ
ＤＴＥ能源,DTE
杜克能源公司,DUK
美商藝電公司,EA
電子灣拍賣網站公司,EBAY
藝康集團,ECL
聯合愛迪生,ED
雅詩蘭黛,EL
安森公司,ELV
艾默生電氣,EMR
Ｅｎｐｈａｓｅ　Ｅｎｅｒｇｙ,ENPH
依歐格資源,EOG
Ｅｑｕｉｎｉｘ公司,EQIX
伊頓公開有限公司,ETN
安特吉公司,ETR
Ｅｔｓｙ，Ｉｎｃ．,ETSY
愛德華生命科學,EW
愛克斯龍公司,EXC
福特汽車公司,F
自由港麥克莫蘭銅金公司,FCX
ＦｅｄＥｘ,FDX
Ｆｉｓｅｒｖ　Ｉｎｃ,FI
富達全國資訊服務,FIS
富美實公司,FMC
福斯公司,FOXA
防特網有限公司,FTNT
ＦｕｂｏＴＶ　Ｉｎｃ,FUBO
Ｇａｐ,GAP
通用動力公司,GD
奇異公司,GE
ＧＥ　醫療,GEHC
ＧＥ　Ｖｅｒｎｏｖａ　ＬＬＣ,GEV
吉利德科學公司,GILD
通用磨坊公司,GIS
環球人壽公司,GL
康寧公司,GLW
通用汽車公司,GM
遊戲驛站公司,GME
Ａｌｐｈａｂｅｔ公司,GOOG
谷歌公司,GOOGL
加拿大鵝控股公司,GOOS
環匯公司,GPN
ＧｏＰｒｏ公司,GPRO
ＧＲＡＩＬ　ｉｎｃ,GRAL
Ｇａｒｍｉｎ有限公司,GRMN
Ｇｏｒｉｌｌａ　Ｔｅｃｈｎｏｌｏｇｙ,GRRR
高盛集團公司,GS
Ｇｌｏｂａｌｓｔａｒ,GSAT
固特異輪胎公司,GT
孩之寶,HAS
ＨＣＡ醫療保健公司,HCA
家得寶公司,HD
哈特福德金融服務集團,HIG
Ｈｉｍｓ　＆　Ｈｅｒｓ　Ｈｅａｌｔｈ,HIMS
賀寶芙,HLF
希爾頓全球控股公司,HLT
哈雷公司,HOG
漢威聯合,HON
羅賓漢市場公司,HOOD
惠普公司,HPQ
好時公司,HSY
哈勃集團,HUBB
哈門那公司,HUM
Ｈｏｗｍｅｔ　航太公司,HWM
國際商業機器公司,IBM
洲際交易所集團,ICE
愛德士實驗室公司,IDXX
國際香料香精,IFF
Ｉｌｌｕｍｉｎａ公司,ILMN
英特爾,INTC
直覺軟體公司,INTU
邀請回家公司,INVH
ＩｏｎＱ　Ｉｎｃ,IONQ
國際紙業,IP
ＩＱＶＩＡ控股公司,IQV
ｉＲｏｂｏｔ公司,IRBT
Ｉｒｏｎ　Ｍｏｕｎｔａｉｎ　Ｉｎｃｏｒｐｏｒａｔｅｄ,IRM
直覺外科公司,ISRG
伊利諾工具公司,ITW
捷藍航空公司,JBLU
江森自控國際公司,JCI
嬌生,JNJ
強生戶外公司,JOUT
摩根大通銀行,JPM
家樂氏公司,K
Ｋｙｎｄｒｙｌ公司,KD
Ｋｅｓｔｒｅｌ　Ｇｒｏｕｐ　Ｌｔｄ,KG
卡夫亨氏公司,KHC
科磊公司,KLAC
金百利克拉克股份有限公司,KMB
金德摩根公司,KMI
車美仕公司,KMX
可口可樂公司,KO
ＫＵＬＲ　Ｔｅｃｈｎｏｌｏｇｙ　Ｇｒｏｕｐ,KULR
Ｋｅｎｖｕｅ　Ｉｎｃ．,KVUE
Ｇｌａｄｓｔｏｎｅ　Ｌａｎｄ公司,LAND
Ｌｕｃｉｄ　集團公司,LCID
Ｌｅｉｄｏｓ　Ｈｏｌｄｉｎｇｓ，　Ｉｎｃ．,LDOS
Ｌ３哈里斯科技公司,LHX
林德集團,LIN
魯門特姆控股公司,LITE
禮來公司,LLY
洛克希德馬丁,LMT
聯合能源,LNT
勞氏公司,LOW
科林研發股份有限公司,LRCX
露露檸檬公司,LULU
Ｌｕｍｅｎ　Ｔｅｃｈｎｏｌｏｇｉｅｓ，Ｉｎｃ．,LUMN
西南航空,LUV
來福車公司,LYFT
Ｌｉｖｅ　Ｎａｔｉｏｎ　Ｅｎｔｅｒｔａｉｎｍｅｎｔ，　Ｉｎｃ,LYV
梅西百貨,M
萬事達卡公司,MA
萬豪國際集團,MAR
瑪拉控股公司,MARA
Ｍａｘｅｏｎ　Ｓｏｌａｒ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,MAXN
麥當勞公司,MCD
超捷國際股份有限公司,MCHP
麥卡遜,MCK
穆迪,MCO
億滋國際,MDLZ
美敦力公司,MDT
大都會保險公司,MET
臉書,META
美高梅國際酒店,MGM
Ｍｏｈａｗｋ工業公司,MHK
ＭｃＣｏｒｍｉｃｋ　－　Ｃｏｍｍｏｎ　Ｓｔｏｃｋ　Ｎｏｎ－Ｖｏｔｉｎｇ,MKC
Ｍａｒｔｉｎ　Ｍａｒｉｅｔｔａ　Ｍａｔｅｒｉａｌｓ，　Ｉｎｃ．,MLM
馬什麥克倫南,MMC
３Ｍ,MMM
ＭａｋｅＭｙＴｒｉｐ　Ｌｔｄ,MMYT
怪獸飲料公司,MNST
奧馳亞集團,MO
馬拉松石油公司,MPC
默克藥廠股份有限公司,MRK
莫德納公司,MRNA
邁威爾科技有限公司,MRVL
摩根士丹利,MS
ＭＳＣＩ　Ｉｎｃ,MSCI
微軟公司,MSFT
摩托羅拉系統公司,MSI
微策公司,MSTR
Ｍ＆Ｔ　Ｂａｎｋ　Ｃｏｒｐｏｒａｔｉｏｎ,MTB
Ｍａｔｃｈ集團公司,MTCH
美光科技,MU
挪威郵輪,NCLH
那斯達克公司,NDAQ
新紀元能源公司,NEE
紐蒙特公司,NEM
Ｎｅｔｆｌｉｘ　Ｉｎｃ,NFLX
尼索斯能源,NI
耐吉公司,NKE
諾斯洛普格拉曼,NOC
ＳｅｒｖｉｃｅＮｏｗ，Ｉｎｃ．,NOW
諾福克南方公司,NSC
ＮｅｔＡｐｐ，　Ｉｎｃ．,NTAP
Ｎｏｒｔｈｅｒｎ　Ｔｒｕｓｔ　Ｃｏｒｐｏｒａｔｉｏｎ,NTRS
ＮＵ控股有限公司,NU
如新企業集團,NUS
諾瓦瓦克斯公司,NVAX
微狄亞視訊,NVDA
新聞集團,NWSA
恩智浦半導體,NXPI
Ｒｅａｌｔｙ　Ｉｎｃｏｍｅ公司,O
Ｏｒｇａｎｏｎ　公司,OGN
ＯＮＥＯＫ,OKE
Ｏｋｌｏ,OKLO
環宇顯示技術公司,OLED
安森美半導體,ON
甲骨文公司,ORCL
奧賴利汽車公司,ORLY
奧的斯電梯公司,OTIS
西方石油,OXY
Ｐａｌｏ　Ａｌｔｏ　Ｎｅｔｗｏｒｋｓ　Ｉｎｃ．,PANW
派拉蒙全球,PARA
Ｐａｙｃｏｍ軟體,PAYC
Ｐａｙｃｈｅｘ公司,PAYX
帕卡公司,PCAR
ＰＧ＆Ｅ,PCG
大眾服務企業,PEG
百事可樂,PEP
輝瑞大藥廠,PFE
Ｐｒｉｎｃｉｐａｌ　Ｆｉｎａｎｃｉａｌ　Ｇｒｏｕｐ，　Ｉｎｃ．,PFG
寶僑公司,PG
Ｐｒｏｇｒｅｓｓｉｖｅ　Ｃｏｒｐｏｒａｔｉｏｎ,PGR
派克漢尼汾公司,PH
ＰｕｌｔｅＧｒｏｕｐ　Ｉｎｃ．,PHM
普洛斯公司,PLD
帕蘭提爾科技公司,PLTR
火星塞電力公司,PLUG
菲利普莫里斯國際公司,PM
ＰＮＣ金融服務集團,PNC
濱特爾公開有限公司,PNR
Ｐｏｏｌ　Ｃｏｒｐｏｒａｔｉｏｎ,POOL
ＰＰＬ公司,PPL
保德信金融,PRU
公共存儲公司,PSA
Ｐｅｌｏｔｏｎ　Ｉｎｔｅｒａｃｔｉｖｅ，Ｉｎｃ．,PTON
Ｑｕａｎｔａ　Ｓｅｒｖｉｃｅｓ，　Ｉｎｃ．,PWR
ＰａｙＰａｌ,PYPL
高通,QCOM
Ｑｏｒｖｏ，　Ｉｎｃ．,QRVO
法拉利,RACE
Ｒｏｂｌｏｘ公司,RBLX
皇家加勒比郵輪,RCL
雷傑納榮製藥公司,REGN
Ｒｉｇｅｔｔｉ　Ｃｏｍｐｕｔｉｎｇ,RGTI
Ｔｒａｎｓｏｃｅａｎ有限公司,RIG
雷夫羅倫公司,RL
ＲｅｓＭｅｄ　Ｉｎｃ．,RMD
Ｒｏｋｕ　Ｉｎｃ．,ROKU
Ｒｏｐｅｒ科技公司,ROP
羅斯百貨,ROST
共和服務公司,RSG
雷神科技公司,RTX
Ｓｕｎｒｕｎ,RUN
ＳＢＡ通訊公司,SBAC
星巴克公司,SBUX
嘉信理財,SCHW
宣偉,SHW
ＪＭ斯馬克,SJM
ＳＫＥＣＨＥＲＳ　Ｕ．Ｓ．Ａ．ＩＮＣ,SKX
施蘭卜吉,SLB
超微電腦公司,SMCI
新思科技,SNPS
南方公司,SO
索菲科技公司,SOFI
Ｓｏｌｖｅｎｔｕｍ　Ｃｏｒｐ,SOLV
賽門地產集團,SPG
標準普爾全球公司,SPGI
聲破天科技有限責任公司,SPOT
桑普拉能源,SRE
希捷科技公司,STX
星座公司,STZ
思佳訊半導體有限公司,SWKS
史賽克,SYK
西斯柯公司,SYY
美國電話電報公司,T
Ｔｅｌａｄｏｃ　Ｈｅａｌｔｈ，　Ｉｎｃ．,TDOC
Ｔｅｌｅｄｙｎｅ　Ｔｅｃｈｎｏｌｏｇｉｅｓ　Ｉｎｃ．,TDY
泰科電子公司,TEL
Ｔｅｍｐｕｓ,TEM
Ｔｒｕｉｓｔ金融公司,TFC
目標百貨公司,TGT
ＴＪＸ公司,TJX
賽默飛世爾科技,TMO
Ｔ－Ｍｏｂｉｌｅ　ＵＳ　Ｉｎｃ,TMUS
Ｔａｐｅｓｔｒｙ公司,TPR
旅行者保險公司,TRV
特斯拉,TSLA
台灣積體電路製造股份有限公司,TSM
Ｔｒａｎｅ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,TT
Ｔａｋｅ－Ｔｗｏ互動軟體公司,TTWO
Ｔｗｉｌｉｏ公司,TWLO
德州儀器,TXN
Ｕｎｉｔｙ　軟體公司,U
Ｕｎｄｅｒ　Ａｒｍｏｕｒ　Ｉｎｃ,UAA
聯合大陸控股公司,UAL
優步科技公司,UBER
聯合健康集團,UNH
聯合太平洋公司,UNP
Ｕｎｉｔｅｄ　Ｐａｒｃｅｌ　Ｓｅｒｖｉｃｅ，　Ｉｎｃ．,UPS
Ｕｐｓｔａｒｔ　Ｈｏｌｄｉｎｇｓ,UPST
美國合眾銀行,USB
美商優莎納,USNA
Ｖｉｓａ,V
Ｖａｌｅｒｏ　Ｅｎｅｒｇｙ　Ｃｏｒｐｏｒａｔｉｏｎ,VLO
福泰製藥公司,VRTX
維斯達能源公司,VST
Ｖｅｎｔａｓ，　Ｉｎｃ．,VTR
Ｖｉａｔｒｉｓ　Ｉｎｃ．,VTRS
威瑞森電信公司,VZ
西屋制動公司,WAB
Ｗａｔｅｒｓ　Ｃｏｒｐｏｒａｔｉｏｎ,WAT
沃博聯公司,WBA
Ｗａｒｎｅｒ　Ｂｒｏｓ．　Ｄｉｓｃｏｖｅｒｙ公司,WBD
Ｗｅｓｔｅｒｎ　Ｄｉｇｉｔａｌ　Ｃｏｒｐｏｒａｔｉｏｎ,WDC
ＷＥＣ能源集團,WEC
威爾塔公司,WELL
富國銀行,WFC
廢棄物管理公司,WM
威廉斯公司,WMB
沃爾瑪公司,WMT
Ｗｏｌｆｓｐｅｅｄ，　Ｉｎｃ．,WOLF
Ｗ．　Ｒ．　Ｂｅｒｋｌｅｙ　Ｃｏｒｐｏｒａｔｉｏｎ,WRB
Ｗｅｓｔ　Ｐｈａｒｍａｃｅｕｔｉｃａｌ　Ｓｅｒｖｉｃｅｓ，　Ｉｎｃ．,WST
Ｔｈｅ　Ｗｅｓｔｅｒｎ　Ｕｎｉｏｎ　Ｃｏｍｐａｎｙ,WU
永利度假村,WYNN
Ｘｃｅｌ　能源,XEL
艾克森美孚,XOM
布洛克公司,XYZ
百勝餐飲,YUM
Ｚｉｌｌｏｗ集團公司,Z
Ｚｏｏｍ　Ｖｉｄｅｏ　Ｃｏｍｍｕｎｉｃａｔｉｏｎｓ，Ｉｎｃ．,ZM
碩騰股份有限公司,ZTS
匯豐控股,0005.HK
恒生銀行,0011.HK
港鐵公司,0066.HK
吉利汽車,0175.HK
比亞迪電子,0285.HK
３７１－北控水務集團,0371.HK
３８８－香港交易所,0388.HK
陽光房地產投資信託基金,0435.HK
７００－騰訊,0700.HK
領展房產基金,0823.HK
中國石油,0857.HK
８８０－澳博控股集團,0880.HK
建設銀行,0939.HK
