股票名稱,代碼
美國鋁業公司,AA
美國航空集團公司,AAL
蘋果公司,AAPL
艾伯維公司,ABBV
愛彼迎公司,ABNB
亞培,ABT
埃森哲有限公司,ACN
奧多比系統公司,ADBE
亞德諾公司,ADI
美國電力公司,AEP
雅寶公司,ALB
應用材料,AMAT
超微半導體公司,AMD
安進公司,AMGN
美國電塔,AMT
亞馬遜公司,AMZN
Arista網路公司,ANET
氣體產品與化學,APD
安費諾,APH
應用數位公司(限專投),APLD
安謀控股公開有限公司,ARM
艾司摩爾控股公司,ASML
博通公司,AVGO
美國運通,AXP
阿斯特捷利康公開有限公司,AZN
波音公司,BA
阿里巴巴集團控股有限公司,BABA
美國銀行,BAC
百度股份有限公司,BIDU
紐約梅隆銀行,BK
繽客控股公司,BKNG
貝萊德公司,BLK
必治妥施貴寶公司,BMY
波克夏海瑟威公司,BRK/B
波士頓科學公司,BSX
比特小鹿有限公司(限專投),BTDR
花旗集團,C
卡特彼勒公司,CAT
嘉年華集團,CCL
Cadence設計系統公司,CDNS
星座能源公司,CEG
特許通訊公司,CHTR
Chewy公司(限專投),CHWY
信諾集團,CI
高露潔-棕欖公司,CL
康卡斯特公司,CMCSA
比特幣基地全球公司,COIN
康菲石油,COP
好市多公司,COST
賽富時公司,CRM
CoreWeave公司,CRWV
思科系統股份有限公司,CSCO
CSXCorp,CSX
CVS保健公司,CVS
雪佛龍公司,CVX
道明尼能源公司,D
達美航空,DAL
迪爾,DE
德克斯戶外用品公司,DECK
戴爾科技公司,DELL
丹納赫集團,DHR
華特迪士尼公司,DIS
美商藝電公司,EA
雅詩蘭黛,EL
Elevance健康公司,ELV
Equinix公司,EQIX
福特汽車公司,F
自由港麥克莫蘭銅金公司,FCX
聯邦快遞公司,FDX
通用動力公司,GD
奇異公司,GE
GE Vernova Inc,GEV
吉利德科學公司,GILD
通用汽車公司,GM
Alphabet公司,GOOGL
國際航電股份有限公司,GRMN
高盛集團,GS
葛蘭素史克公開有限公司,GSK
HCA醫療保健公司,HCA
家得寶公司,HD
奇景光電,HIMX
漢威聯合國際公司,HON
惠普公司,HPQ
霍梅爾食品,HRL
國際商業機器,IBM
英特爾,INTC
直覺公司,INTU
直覺外科公司,ISRG
景順有限公司,IVZ
嬌生公司,JNJ
摩根大通銀行,JPM
科磊公司,KLAC
可口可樂公司,KO
克羅格公司,KR
林德公開有限公司,LIN
禮來公司,LLY
洛克希德馬丁,LMT
羅威公司,LOW
科林研發股份有限公司,LRCX
露露檸檬公司,LULU
直覺機器公司(限專投),LUNR
萬事達卡,MA
萬豪國際集團(馬里蘭),MAR
麥當勞公司,MCD
穆迪,MCO
億滋國際,MDLZ
美敦力公司,MDT
大都會人壽,MET
Meta平台公司,META
3M,MMM
怪獸飲料公司,MNST
高特利集團,MO
默克藥廠,MRK
莫德納公司,MRNA
Marvell Technology Inc,MRVL
摩根士丹利,MS
MSCI明晟,MSCI
微軟公司,MSFT
策略公司,MSTR
美光科技公司,MU
那斯達克有限公司,NDAQ
NextEraEnergyInc,NEE
網飛公司,NFLX
