標的代號,標的名稱,產業
A,安捷倫科技公司,醫療保健
AA,美國鋁業公司,原材料
AAL,美國航空集團公司,工業
AAOI,祥茂光電科技股份有限公司,資訊科技
AAP,前進汽車零件公司,非必需消費品
AAPL,蘋果公司,資訊科技
AAPU,Direxion Daily AAPL Bull 2X Sh,
AAXJ,iShares MSCI亞洲(除日本)ETF,
ABBV,艾伯維公司,醫療保健
ABC,森科拉公司,醫療保健
ABCL,AbCellera Biologics Inc,醫療保健
ABMD,ABIOMED公司,醫療保健
ABNB,愛彼迎公司,非必需消費品
ABT,亞培,醫療保健
ACB,極光大麻公司,醫療保健
ACGL,艾奇資本集團有限公司,金融服務
ACHR,阿徹航空公司,工業
ACN,埃森哲有限公司,資訊科技
ACWI,iShares MSCI ACWI ETF,
ADBE,奧多比系統公司,資訊科技
ADI,亞德諾公司,資訊科技
ADM,Archer-Daniels-Midland Co,必需消費品
ADP,自動資料處理公司,工業
ADS,Bread金融控股公司,金融服務
ADSK,歐特克,資訊科技
AEE,阿莫林公司,公用事業
AEP,美國電力公司,公用事業
AES,愛伊斯公司,公用事業
AFL,美國家庭人壽保險公司,金融服務
AFRM,Affirm控股公司,金融服務
AGN,愛力根公司,醫療保健
AGX,阿根公司,工業
AI,C3.ai Inc,資訊科技
AIG,美國國際集團,金融服務
AIQ,Global X Artificial Intelligen,
AIRR,第一信託RBA美國工業復興ETF,
AIV,公寓投資管理,房地產
AIZ,安信龍公司,金融服務
AJG,Arthur J Gallagher & Co,金融服務
AKAM,Akamai科技公司,資訊科技
ALB,雅保公司,原材料
ALGN,艾利科技公司,醫療保健
ALK,阿拉斯加航空集團公司,工業
ALL,好事達保險公司,金融服務
ALLE,安朗杰有限公司,工業
ALLY,Ally金融公司,金融服務
ALXN,Alexion製藥公司,醫療保健
AMAT,應用材料,資訊科技
AMCR,安姆科公開有限公司,原材料
AMD,超微半導體公司,資訊科技
AME,阿美特克公司,工業
AMG,聯營投資管理集團公司,金融服務
AMGN,安進公司,醫療保健
AMP,阿默普萊斯金融公司,金融服務
AMSC,美國超導公司,工業
AMT,美國電塔,房地產
AMZN,亞馬遜公司,非必需消費品
AMZU,Direxion Daily AMZN Bull 2X Sh,
ANET,Arista網路公司,資訊科技
ANF,Abercrombie & Fitch公司,非必需消費品
ANSS,ANSYS公司,資訊科技
ANTM,Elevance健康公司,醫療保健
AON,怡安公開有限公司,金融服務
AOS,A.O.史密斯公司,工業
APA,阿帕奇公司,能源
APC,阿納達科石油公司,能源
APD,氣體產品與化學,原材料
APH,安費諾,資訊科技
API,上海兆言網路科技有限公司,資訊科技
APLD,應用數位公司,資訊科技
APP,AppLovin公司,資訊科技
APTV,安波福控股有限公司,非必需消費品
AQMS,阿奎亞金屬公司,工業
ARE,亞歷山卓不動產股份公司,房地產
ARKF,ARK Fintech Innovation ETF,
ARKG,ARK基因組學革新多領域交易所交,
ARKK,ARK新興主動型ETF,
ARKQ,ARK自動技術與機器人ETF,
ARKW,ARK Next物聯網主動型ETF,
ARM,安謀控股公開有限公司,資訊科技
ARNC,Arconic Corp,原材料
